id,name,industry,region,size,segment_ids
A001,東洋化学工業,化学,関東,大手,SEG001|SEG003
A002,日清食品プラント,食品,関西,大手,SEG002
A003,大塚製薬エンジニアリング,医薬品,関西,大手,SEG002|SEG003
A004,サウジアラムコ,エネルギー,海外,大手,SEG001
A005,ENEOS,石油化学,関東,大手,SEG001
A006,カゴメ,食品,東海,大手,SEG002
A007,味の素エンジニアリング,食品,関東,大手,SEG002|SEG001
A008,三菱ケミカル,化学,関東,大手,SEG001|SEG003
A009,旭化成エンジニアリング,化学,関東,大手,SEG001
A010,テルモ,医療機器,関東,大手,SEG002
A011,JFEエンジニアリング,鉄鋼,関東,大手,SEG001
A012,丸紅プラント,商社,関東,大手,SEG001|SEG002
A013,明治乳業,食品,関東,大手,SEG002
A014,ダイキン工業,空調,関西,大手,SEG001
A015,花王,化学,関東,大手,SEG002|SEG003
A016,クラレ,化学,関西,中堅,SEG001
A017,カーボンテック,環境,北海道,中堅,SEG001
A018,東レエンジニアリング,繊維,関西,大手,SEG002
A019,住友化学,化学,関西,大手,SEG001|SEG003
A020,マレーシアペトロナス,エネルギー,海外,大手,SEG001
A021,協和キリン,医薬品,関東,大手,SEG002
A022,サントリープロダクツ,飲料,関西,大手,SEG002
A023,日本製鉄,鉄鋼,関東,大手,SEG001
A024,三菱重工,重工業,関東,大手,SEG001
A025,中部電力,電力,東海,大手,SEG001
